,city,latitude,temperature,humidity,cloudiness,windspeed,data_retrieval_date
0,jamestown,-33.21,60.6,47.0,20.0,20.07,1532310000.0
1,port alfred,-33.59,69.6,56.0,0.0,12.8,1532310001.0
2,old shinyanga,-3.56,58.53,77.0,0.0,11.68,1532310001.0
3,nikolskoye,59.7,68.0,94.0,75.0,4.47,1532307600.0
4,paita,-5.09,69.8,73.0,20.0,16.11,1532305140.0
5,arraial do cabo,-22.97,67.62,99.0,8.0,3.96,1532309758.0
6,rikitea,-23.12,73.92,100.0,24.0,12.8,1532309734.0
8,kodiak,39.95,82.4,51.0,1.0,9.17,1532307180.0
9,hermanus,-34.42,69.15,32.0,0.0,8.99,1532310003.0
10,esperance,10.24,78.8,83.0,20.0,5.97,1532307600.0
12,bubaque,11.28,77.79,100.0,92.0,12.24,1532310004.0
13,anadyr,64.73,55.4,87.0,90.0,8.95,1532307600.0
14,ushuaia,-54.81,39.2,60.0,40.0,4.7,1532307600.0
15,koutsouras,35.03,81.93,88.0,0.0,5.08,1532310005.0
16,katsuura,33.93,90.73,70.0,40.0,6.93,1532307600.0
18,sisimiut,66.94,38.37,93.0,0.0,2.06,1532309800.0
19,sao joao da barra,-21.64,74.01,97.0,8.0,4.29,1532310006.0
21,mataura,-46.19,43.95,94.0,80.0,11.45,1532310007.0
22,strzelce krajenskie,52.88,59.88,83.0,24.0,2.73,1532310007.0
24,vaini,15.34,71.04,98.0,92.0,8.21,1532310008.0
25,hobart,-42.88,51.8,57.0,75.0,17.22,1532307600.0
26,salalah,17.01,77.0,94.0,90.0,5.82,1532307000.0
27,punta arenas,-53.16,39.2,95.0,75.0,16.11,1532307600.0
28,petropavlovsk-kamchatskiy,53.05,59.0,87.0,75.0,8.95,1532307600.0
29,wajir,1.75,68.25,74.0,0.0,8.32,1532310009.0
30,barrow,-38.31,35.31,75.0,0.0,12.68,1532310009.0
31,sorland,67.67,56.19,94.0,92.0,26.55,1532310010.0
32,tasiilaq,65.61,46.4,65.0,8.0,5.82,1532307000.0
33,mumford,5.26,74.64,96.0,88.0,6.98,1532310010.0
34,busselton,-33.64,62.94,100.0,92.0,25.32,1532310011.0
35,longonjo,-12.91,39.27,75.0,0.0,3.96,1532310011.0
36,vestmannaeyjar,63.44,44.85,98.0,0.0,2.28,1532310011.0
39,mehamn,71.03,51.6,99.0,92.0,3.62,1532310012.0
40,saint-michel-des-saints,46.68,64.38,98.0,92.0,5.08,1532310012.0
41,hithadhoo,-0.6,75.45,100.0,92.0,6.08,1532310013.0
42,tiksi,71.64,54.48,72.0,88.0,5.75,1532309951.0
43,bethel,60.79,64.4,68.0,90.0,12.75,1532307180.0
44,bundaberg,-24.87,68.34,91.0,24.0,4.63,1532309862.0
47,axim,4.87,77.25,99.0,76.0,8.77,1532310015.0
48,tabas,33.6,86.34,28.0,0.0,6.98,1532310015.0
49,qaanaaq,77.48,33.42,100.0,88.0,2.62,1532310015.0
50,vila velha,-3.71,80.6,78.0,0.0,10.29,1532307600.0
52,rivadavia,-31.53,36.3,46.0,56.0,6.42,1532310016.0
53,zhezkazgan,47.8,51.8,66.0,0.0,22.37,1532307600.0
54,forssa,60.82,55.4,100.0,0.0,1.12,1532308800.0
55,bonavista,48.65,63.93,74.0,8.0,14.36,1532310017.0
56,saskylakh,71.97,43.23,78.0,48.0,13.02,1532310017.0
57,hobyo,5.35,74.01,80.0,0.0,18.28,1532310018.0
58,aden,12.79,81.39,88.0,32.0,10.67,1532310018.0
59,shitanjing,39.23,68.34,97.0,92.0,2.95,1532310019.0
60,batagay,67.65,49.53,100.0,92.0,4.18,1532310019.0
61,airai,-8.93,79.14,49.0,8.0,1.72,1532310019.0
62,huicheng,23.03,86.0,79.0,20.0,4.47,1532307600.0
63,kahului,20.89,82.35,66.0,40.0,20.8,1532307360.0
64,sidi ali,36.1,66.18,92.0,8.0,2.84,1532310021.0
65,bredasdorp,-34.53,48.2,81.0,0.0,2.24,1532307600.0
66,corinto,-18.36,58.89,70.0,0.0,4.52,1532310022.0
67,latung,-8.45,79.95,72.0,20.0,2.73,1532310022.0
68,new norfolk,-42.78,51.8,57.0,75.0,17.22,1532307600.0
69,chuy,-33.69,47.55,98.0,76.0,7.31,1532310022.0
71,kavieng,-2.57,82.11,100.0,76.0,1.39,1532309802.0
72,vardo,39.62,72.63,83.0,40.0,5.82,1532308500.0
73,port elizabeth,39.31,78.8,88.0,90.0,9.17,1532308920.0
74,bluff,-23.58,73.47,26.0,0.0,5.97,1532310024.0
75,caxito,-22.65,61.95,91.0,20.0,2.62,1532310024.0
76,tuatapere,-46.13,44.67,100.0,88.0,11.01,1532310025.0
77,albany,42.65,76.95,61.0,75.0,9.17,1532307240.0
78,butaritari,3.07,82.74,100.0,36.0,4.97,1532309773.0
79,klaksvik,62.23,50.0,93.0,8.0,5.82,1532308800.0
80,boa vista,2.82,77.0,88.0,75.0,5.82,1532307600.0
81,atuona,-9.8,77.43,100.0,88.0,15.82,1532310027.0
82,saint-philippe,45.36,74.25,78.0,1.0,9.17,1532308500.0
83,mango,44.69,73.4,78.0,40.0,3.36,1532308800.0
84,cape town,-33.93,57.2,76.0,0.0,9.17,1532307600.0
85,yellowknife,62.45,66.2,42.0,75.0,17.22,1532307600.0
86,rosarito,4.91,71.6,83.0,75.0,2.24,1532307600.0
87,taminango,1.57,66.09,94.0,68.0,1.61,1532309972.0
88,vao,59.1,61.95,93.0,0.0,3.4,1532310029.0
89,colac,-38.34,54.93,66.0,20.0,12.12,1532310029.0
90,castro,-42.48,43.59,100.0,92.0,4.74,1532310030.0
91,surt,31.21,72.75,100.0,0.0,3.96,1532310030.0
92,haines junction,60.75,73.02,27.0,0.0,3.4,1532310031.0
93,sobolevo,54.43,67.71,91.0,64.0,10.0,1532310031.0
94,kinablangan,7.69,83.73,100.0,48.0,3.96,1532310031.0
95,hilo,19.71,78.21,70.0,20.0,8.05,1532307360.0
97,urucara,-2.54,80.49,73.0,44.0,1.95,1532310032.0
98,flinders,-34.58,56.55,59.0,0.0,3.62,1532310032.0
99,tateyama,36.66,93.2,52.0,20.0,5.82,1532307600.0
100,upernavik,72.79,37.74,98.0,88.0,6.2,1532310033.0
102,acapulco,16.86,86.0,79.0,5.0,11.41,1532306580.0
103,puerto ayora,-0.74,73.4,73.0,75.0,13.87,1532304000.0
104,tuktoyaktuk,69.44,66.2,68.0,40.0,5.82,1532307600.0
106,faanui,-16.48,79.32,100.0,64.0,11.12,1532310034.0
107,linjiang,41.81,82.47,76.0,8.0,3.51,1532310035.0
108,sabang,13.72,79.95,99.0,92.0,11.12,1532310035.0
109,kloulklubed,7.04,84.2,83.0,90.0,9.17,1532307120.0
110,coihaique,-45.58,36.39,74.0,20.0,5.82,1532307600.0
111,steamboat springs,40.48,73.09,26.0,1.0,6.93,1532308140.0
112,bay roberts,47.58,64.4,93.0,40.0,16.11,1532308140.0
113,avarua,-21.21,78.8,78.0,75.0,3.36,1532307600.0
114,samarai,-10.62,78.15,100.0,36.0,12.24,1532310037.0
115,aksu,52.04,57.2,93.0,90.0,6.71,1532307600.0
116,san patricio,-26.98,54.12,72.0,68.0,5.3,1532310037.0
117,qandala,11.47,81.3,60.0,32.0,6.53,1532310038.0
118,matara,-13.74,31.89,90.0,0.0,1.95,1532310038.0
119,barentu,15.11,66.45,99.0,92.0,3.06,1532310038.0
120,chumikan,54.72,54.3,93.0,76.0,4.41,1532310039.0
121,vaasa,63.1,62.6,100.0,0.0,5.82,1532308800.0
122,ottawa,45.42,73.4,78.0,75.0,13.87,1532307600.0
123,caimito,22.95,80.6,78.0,20.0,3.36,1532307300.0
124,bhongir,17.52,75.2,94.0,90.0,9.17,1532307600.0
125,rivera,-30.9,45.12,99.0,92.0,3.18,1532310040.0
126,khatanga,71.98,42.87,73.0,64.0,12.8,1532310041.0
127,auburn,32.61,80.6,100.0,1.0,4.85,1532307360.0
128,san quintin,17.54,82.4,83.0,90.0,4.7,1532307600.0
129,nabire,-3.36,76.35,82.0,76.0,2.51,1532310042.0
130,jackson,35.61,77.32,74.0,1.0,5.82,1532308500.0
131,kamaishi,39.28,78.8,83.0,75.0,3.36,1532307600.0
132,borogontsy,62.67,62.94,100.0,92.0,7.43,1532310043.0
133,jenison,42.91,69.13,88.0,90.0,10.29,1532308500.0
136,vanimo,-2.67,80.4,100.0,56.0,2.95,1532310044.0
137,baykit,61.68,56.37,67.0,36.0,6.2,1532310045.0
138,norman wells,65.28,75.2,41.0,40.0,8.05,1532307600.0
139,manavalakurichi,8.13,77.0,83.0,40.0,6.93,1532309400.0
